Source,Target
n0,n10
n0,n103
n0,n73
n0,n100
n0,n50
n0,n25
n0,n70
n0,n19
n0,n61
n0,n99
n0,n95
n0,n38
n0,n41
n0,n87
n0,n68
n0,n56
n0,n2
n0,n6
n0,n51
n0,n93
n0,n14
n0,n11
n0,n26
n0,n89
n0,n17
n0,n22
n0,n20
n0,n39
n0,n66
n0,n62
n0,n96
n0,n60
n0,n54
n0,n47
n0,n40
n0,n88
n0,n9
n0,n4
n0,n18
n0,n23
n0,n81
n0,n34
n0,n754
n0,n42
n0,n52
n0,n45
n0,n43
n0,n69
n0,n85
n0,n84
n0,n83
n0,n86
n0,n74
n0,n8
n0,n64
n0,n67
n0,n71
n0,n15
n0,n98
n0,n1
n0,n16
n0,n32
n0,n102
n0,n53
n0,n90
n0,n48
n0,n75
n0,n80
n0,n77
n0,n79
n0,n5
n0,n92
n0,n21
n0,n49
n0,n78
n0,n46
n0,n35
n0,n28
n0,n59
n0,n44
n0,n55
n0,n24
n0,n63
n0,n30
n0,n31
n0,n58
n0,n101
n0,n72
n0,n91
n0,n13
n0,n37
n0,n76
n0,n94
n0,n3
n0,n7
n0,n36
n0,n65
n0,n57
n0,n27
n0,n97
n0,n12
n0,n29
n0,n33
n0,n82
n104,n138
n104,n129
n104,n125
n104,n151
n104,n106
n104,n134
n104,n111
n104,n107
n104,n147
n104,n137
n104,n120
n104,n130
n104,n149
n104,n141
n104,n150
n104,n117
n104,n105
n104,n154
n104,n114
n104,n110
n104,n135
n104,n148
n104,n131
n104,n136
n104,n152
n104,n140
n104,n113
n104,n118
n104,n133
n104,n153
n104,n123
n104,n121
n104,n119
n104,n139
n104,n127
n104,n128
n104,n116
n104,n126
n104,n143
n104,n146
n104,n108
n104,n124
n104,n142
n104,n132
n104,n122
n104,n144
n104,n115
n104,n145
n104,n109
n104,n112
n155,n157
n155,n156
n155,n158
n159,n163
n159,n160
n159,n169
n159,n179
n159,n186
n159,n166
n159,n171
n159,n192
n159,n162
n159,n167
n159,n176
n159,n195
n159,n181
n159,n194
n159,n164
n159,n177
n159,n193
n159,n182
n159,n187
n159,n174
n159,n180
n159,n191
n159,n175
n159,n178
n159,n189
n159,n173
n159,n185
n159,n161
n159,n184
n159,n172
n159,n65
n159,n188
n159,n168
n159,n196
n159,n190
n159,n170
n159,n165
n159,n183
n197,n210
n197,n262
n197,n273
n197,n237
n197,n234
n197,n225
n197,n265
n197,n216
n197,n213
n197,n260
n197,n244
n197,n254
n197,n257
n197,n236
n197,n249
n197,n270
n197,n266
n197,n247
n197,n271
n197,n272
n197,n263
n197,n242
n197,n215
n197,n211
n197,n198
n197,n224
n197,n199
n197,n214
n197,n206
n197,n232
n197,n220
n197,n246
n197,n218
n197,n250
n197,n256
n197,n275
n197,n243
n197,n207
n197,n274
n197,n208
n197,n231
n197,n200
n197,n277
n197,n269
n197,n238
n197,n219
n197,n205
n197,n253
n197,n252
n197,n241
n197,n276
n197,n278
n197,n229
n197,n203
n197,n264
n197,n268
n197,n209
n197,n4757
n197,n235
n197,n202
n197,n223
n197,n245
n197,n279
n197,n259
n197,n226
n197,n227
n197,n233
n197,n248
n197,n239
n197,n261
n197,n201
n197,n240
n197,n212
n197,n230
n197,n217
n197,n228
n197,n255
n197,n204
n197,n258
n197,n221
n197,n267
n197,n222
n197,n251
n280,n285
n280,n293
n280,n294
n280,n281
n280,n301
n280,n282
n280,n291
n280,n295
n280,n304
n280,n290
n280,n296
n280,n288
n280,n303
n280,n287
n280,n292
n280,n283
n280,n289
n280,n302
n280,n305
n280,n286
n280,n299
n280,n300
n280,n298
n280,n297
n280,n284
n306,n375
n306,n352
n306,n310
n306,n358
n306,n359
n306,n368
n306,n377
n306,n315
n306,n331
n306,n385
n306,n366
n306,n386
n306,n382
n306,n323
n306,n344
n306,n388
n306,n318
n306,n347
n306,n309
n306,n364
n306,n374
n306,n307
n306,n349
n306,n372
n306,n376
n306,n311
n306,n343
n306,n337
n306,n341
n306,n361
n306,n371
n306,n367
n306,n369
n306,n354
n306,n312
n306,n346
n306,n348
n306,n345
n306,n324
n306,n350
n306,n373
n306,n313
n306,n328
n306,n327
n306,n317
n306,n332
n306,n321
n306,n381
n306,n353
n306,n383
n306,n316
n306,n362
n306,n365
n306,n379
n306,n342
n306,n329
n306,n360
n306,n384
n306,n339
n306,n357
n306,n314
n306,n330
n306,n326
n306,n370
n306,n340
n306,n335
n306,n320
n306,n325
n306,n380
n306,n351
n306,n338
n306,n378
n306,n333
n306,n387
n306,n308
n306,n319
n306,n336
n306,n355
n306,n334
n306,n389
n306,n322
n306,n356
n306,n363
n390,n411
n390,n418
n390,n424
n390,n434
n390,n419
n390,n425
n390,n431
n390,n398
n390,n420
n390,n395
n390,n409
n390,n392
n390,n432
n390,n393
n390,n417
n390,n394
n390,n405
n390,n414
n390,n410
n390,n422
n390,n435
n390,n429
n390,n396
n390,n415
n390,n75
n390,n406
n390,n413
n390,n428
n390,n426
n390,n121
n390,n412
n390,n402
n390,n400
n390,n416
n390,n401
n390,n399
n390,n423
n390,n397
n390,n433
n390,n407
n390,n391
n390,n430
n390,n175
n390,n421
n390,n403
n390,n408
n390,n427
n390,n404
n436,n448
n436,n450
n436,n453
n436,n444
n436,n445
n436,n437
n436,n441
n436,n454
n436,n446
n436,n438
n436,n442
n436,n452
n436,n457
n436,n458
n436,n456
n436,n440
n436,n443
n436,n439
n436,n451
n436,n447
n436,n455
n436,n449
n459,n496
n459,n501
n459,n509
n459,n498
n459,n462
n459,n480
n459,n477
n459,n475
n459,n482
n459,n508
n459,n470
n459,n473
n459,n464
n459,n491
n459,n497
n459,n517
n459,n519
n459,n472
n459,n460
n459,n503
n459,n478
n459,n492
n459,n601
n459,n474
n459,n468
n459,n469
n459,n466
n459,n471
n459,n502
n459,n506
n459,n463
n459,n512
n459,n465
n459,n510
n459,n489
n459,n479
n459,n486
n459,n467
n459,n518
n459,n483
n459,n487
n459,n505
n459,n476
n459,n507
n459,n481
n459,n504
n459,n484
n459,n4757
n459,n485
n459,n494
n459,n515
n459,n514
n459,n511
n459,n500
n459,n488
n459,n490
n459,n516
n459,n461
n459,n499
n459,n493
n459,n495
n459,n513
n520,n520
n521,n574
n521,n583
n521,n541
n521,n572
n521,n559
n521,n554
n521,n580
n521,n542
n521,n566
n521,n569
n521,n587
n521,n543
n521,n591
n521,n83
n521,n525
n521,n534
n521,n564
n521,n549
n521,n533
n521,n551
n521,n562
n521,n544
n521,n528
n521,n535
n521,n590
n521,n582
n521,n527
n521,n538
n521,n532
n521,n575
n521,n563
n521,n570
n521,n548
n521,n561
n521,n568
n521,n536
n521,n546
n521,n557
n521,n567
n521,n576
n521,n565
n521,n550
n521,n530
n521,n553
n521,n524
n521,n581
n521,n526
n521,n522
n521,n560
n521,n556
n521,n577
n521,n529
n521,n555
n521,n585
n521,n523
n521,n531
n521,n588
n521,n547
n521,n573
n521,n579
n521,n586
n521,n589
n521,n578
n521,n537
n521,n558
n521,n539
n521,n552
n521,n584
n521,n540
n521,n545
n521,n571
n592,n598
n592,n501
n592,n509
n592,n498
n592,n630
n592,n622
n592,n625
n592,n594
n592,n610
n592,n612
n592,n511
n592,n597
n592,n480
n592,n623
n592,n599
n592,n615
n592,n609
n592,n508
n592,n618
n592,n595
n592,n614
n592,n491
n592,n497
n592,n593
n592,n519
n592,n619
n592,n616
n592,n627
n592,n492
n592,n611
n592,n474
n592,n602
n592,n624
n592,n617
n592,n601
n592,n605
n592,n613
n592,n606
n592,n471
n592,n596
n592,n603
n592,n626
n592,n621
n592,n467
n592,n628
n592,n507
n592,n604
n592,n608
n592,n600
n592,n514
n592,n461
n592,n620
n592,n629
n592,n607
n631,n734
n631,n664
n631,n742
n631,n730
n631,n632
n631,n677
n631,n685
n631,n655
n631,n708
n631,n693
n631,n718
n631,n747
n631,n648
n631,n687
n631,n752
n631,n679
n631,n663
n631,n740
n631,n720
n631,n658
n631,n709
n631,n755
n631,n761
n631,n690
n631,n692
n631,n662
n631,n745
n631,n661
n631,n646
n631,n651
n631,n732
n631,n721
n631,n686
n631,n728
n631,n735
n631,n729
n631,n768
n631,n636
n631,n682
n631,n719
n631,n671
n631,n744
n631,n717
n631,n654
n631,n699
n631,n700
n631,n680
n631,n712
n631,n647
n631,n678
n631,n676
n631,n731
n631,n684
n631,n641
n631,n727
n631,n750
n631,n665
n631,n674
n631,n739
n631,n741
n631,n644
n631,n683
n631,n769
n631,n713
n631,n743
n631,n657
n631,n637
n631,n696
n631,n697
n631,n703
n631,n673
n631,n702
n631,n704
n631,n737
n631,n759
n631,n714
n631,n753
n631,n762
n631,n635
n631,n695
n631,n766
n631,n675
n631,n754
n631,n751
n631,n758
n631,n767
n631,n638
n631,n724
n631,n746
n631,n723
n631,n763
n631,n749
n631,n756
n631,n691
n631,n764
n631,n672
n631,n670
n631,n689
n631,n640
n631,n705
n631,n643
n631,n733
n631,n645
n631,n725
n631,n738
n631,n669
n631,n698
n631,n711
n631,n701
n631,n656
n631,n219
n631,n400
n631,n667
n631,n707
n631,n634
n631,n736
n631,n760
n631,n659
n631,n688
n631,n757
n631,n649
n631,n666
n631,n765
n631,n716
n631,n710
n631,n653
n631,n748
n631,n706
n631,n639
n631,n722
n631,n660
n631,n652
n631,n715
n631,n650
n631,n694
n631,n633
n631,n681
n631,n726
n631,n642
n631,n668
n770,n799
n770,n852
n770,n810
n770,n822
n770,n823
n770,n843
n770,n806
n770,n777
n770,n821
n770,n781
n770,n824
n770,n786
n770,n837
n770,n794
n770,n826
n770,n782
n770,n851
n770,n812
n770,n836
n770,n828
n770,n771
n770,n829
n770,n825
n770,n842
n770,n813
n770,n848
n770,n780
n770,n798
n770,n820
n770,n763
n770,n808
n770,n814
n770,n840
n770,n831
n770,n797
n770,n816
n770,n853
n770,n772
n770,n819
n770,n804
n770,n789
n770,n809
n770,n775
n770,n807
n770,n785
n770,n219
n770,n784
n770,n795
n770,n834
n770,n832
n770,n847
n770,n835
n770,n778
n770,n800
n770,n793
n770,n802
n770,n839
n770,n833
n770,n844
n770,n830
n770,n817
n770,n790
n770,n827
n770,n779
n770,n4757
n770,n788
n770,n805
n770,n838
n770,n841
n770,n850
n770,n791
n770,n787
n770,n815
n770,n65
n770,n845
n770,n846
n770,n773
n770,n811
n770,n792
n770,n803
n770,n4737
n770,n818
n770,n783
n770,n849
n770,n801
n770,n774
n770,n796
n770,n776
n854,n863
n854,n884
n854,n870
n854,n859
n854,n875
n854,n883
n854,n891
n854,n894
n854,n886
n854,n872
n854,n890
n854,n860
n854,n867
n854,n866
n854,n882
n854,n879
n854,n871
n854,n876
n854,n873
n854,n902
n854,n861
n854,n5925
n854,n857
n854,n855
n854,n887
n854,n903
n854,n856
n854,n881
n854,n772
n854,n858
n854,n880
n854,n901
n854,n862
n854,n874
n854,n900
n854,n869
n854,n897
n854,n892
n854,n899
n854,n864
n854,n895
n854,n877
n854,n885
n854,n904
n854,n888
n854,n878
n854,n865
n854,n889
n854,n896
n854,n898
n854,n893
n854,n868
n905,n906
n907,n915
n907,n956
n907,n938
n907,n968
n907,n920
n907,n914
n907,n910
n907,n926
n907,n946
n907,n908
n907,n913
n907,n919
n907,n959
n907,n960
n907,n909
n907,n951
n907,n916
n907,n940
n907,n948
n907,n918
n907,n931
n907,n967
n907,n912
n907,n942
n907,n947
n907,n944
n907,n962
n907,n925
n907,n964
n907,n917
n907,n933
n907,n963
n907,n935
n907,n943
n907,n936
n907,n966
n907,n932
n907,n941
n907,n957
n907,n922
n907,n965
n907,n949
n907,n958
n907,n937
n907,n950
n907,n954
n907,n945
n907,n955
n907,n929
n907,n924
n907,n934
n907,n939
n907,n911
n907,n921
n907,n961
n907,n930
n907,n923
n907,n927
n907,n952
n907,n953
n907,n928
n969,n982
n969,n987
n969,n998
n969,n991
n969,n1005
n969,n1006
n969,n984
n969,n994
n969,n1000
n969,n978
n969,n999
n969,n973
n969,n988
n969,n1011
n969,n986
n969,n975
n969,n1012
n969,n979
n969,n990
n969,n977
n969,n1009
n969,n980
n969,n995
n969,n970
n969,n1014
n969,n1010
n969,n972
n969,n996
n969,n989
n969,n976
n969,n1007
n969,n1001
n969,n993
n969,n981
n969,n1004
n969,n974
n969,n985
n969,n1002
n969,n997
n969,n1008
n969,n1003
n969,n971
n969,n1013
n969,n983
n969,n992
n1015,n1021
n1015,n1022
n1015,n1043
n1015,n1031
n1015,n1025
n1015,n1039
n1015,n1042
n1015,n1038
n1015,n1026
n1015,n1017
n1015,n1029
n1015,n1036
n1015,n1040
n1015,n1024
n1015,n1047
n1015,n1033
n1015,n1035
n1015,n1049
n1015,n1020
n1015,n1023
n1015,n1030
n1015,n1032
n1015,n1045
n1015,n1034
n1015,n1048
n1015,n1041
n1015,n1016
n1015,n1044
n1015,n1019
n1015,n1027
n1015,n1028
n1015,n1037
n1015,n1018
n1015,n1046
n1050,n1083
n1050,n1085
n1050,n1061
n1050,n411
n1050,n1053
n1050,n1070
n1050,n1089
n1050,n1073
n1050,n1062
n1050,n1071
n1050,n1072
n1050,n1084
n1050,n1059
n1050,n1082
n1050,n1065
n1050,n1090
n1050,n1067
n1050,n1068
n1050,n1087
n1050,n1066
n1050,n357
n1050,n1078
n1050,n1081
n1050,n1074
n1050,n1051
n1050,n1054
n1050,n1063
n1050,n1086
n1050,n229
n1050,n1052
n1050,n1091
n1050,n1056
n1050,n4757
n1050,n1055
n1050,n1064
n1050,n1058
n1050,n1069
n1050,n1077
n1050,n1057
n1050,n1076
n1050,n1079
n1050,n1075
n1050,n1088
n1050,n1080
n1050,n1060
n1092,n1137
n1092,n1132
n1092,n1122
n1092,n1116
n1092,n1123
n1092,n1114
n1092,n1157
n1092,n1146
n1092,n1106
n1092,n1127
n1092,n1143
n1092,n1153
n1092,n1103
n1092,n1140
n1092,n440
n1092,n1104
n1092,n1095
n1092,n1121
n1092,n1107
n1092,n1120
n1092,n872
n1092,n1129
n1092,n1117
n1092,n1130
n1092,n1144
n1092,n1100
n1092,n1131
n1092,n1097
n1092,n1119
n1092,n1151
n1092,n1118
n1092,n1148
n1092,n1164
n1092,n1149
n1092,n1135
n1092,n1093
