id,label
n0,"Watanabe M, 2017, Soc Sci Res, V63, P324, Doi 10.1016/j.ssresearch.2016.09.005"
n1,"Jacobs J., 2004, Community Work Famil, V7, P143, Doi 10.1080/1366880042000245443"
n2,"Keyes Clm, 1998, Soc Psychol Quart, V61, P121, Doi 10.2307/2787065"
n3,"Knoke D., 2008, Social Network Anal"
n4,"Goldberg M, 2001, Am J Epidemiol, V154, P373, Doi 10.1093/aje/154.4.373"
n5,"West Bt, 2010, Public Opin Quart, V74, P1004, Doi 10.1093/poq/nfq061"
n6,"Coleman Js, 1988, Am J Sociol, V94, Ps95, Doi 10.1086/228943"
n7,"Maccoby E. E., 1998, 2 Sexes Growing Apar"
n8,"Abraham Kg, 2009, Am J Sociol, V114, P1129"
n9,"Ibarra H, 1993, Acad Manage Rev, V18, P56"
n10,"Verba S, 1996, Am Polit Sci Rev, V90, P1, Doi 10.2307/2082793"
n11,"Bergman P, 2010, Int J Soc Psychiatr, V56, P119, Doi 10.1177/0020764008098838"
n12,"Wellman Barry, 1988, Social Structures Ne, P19"
n13,"Goyder John, 1987, Silent Minority Nonr"
n14,"Groves Rm, 2006, J R Stat Soc A Stat, V169, P439, Doi 10.1111/j.1467-985x.2006.00423.x"
n15,"Bourdieu P., 1992, Invitation Reflexive"
n16,"Winship C, 1994, Sociol Method Res, V23, P230, Doi 10.1177/0049124194023002004"
n17,"Oneil Mj, 1979, Public Opin Quart, V43, P218, Doi 10.1086/268513"
n18,"Tourangeau R, 2009, J Off Stat, V25, P299"
n19,"Brehm John, 1993, Phantom Respondents"
n20,"Williams Joan, 2000, Unbending Gender"
n21,"Roberts Kh, 1979, Acad Manage J, V22, P42, Doi 10.2307/255477"
n22,"Voogt Robert, 2004, Thesis"
n23,"Biemer Pp, 1997, Wiley Ser Prob Stat, P603"
n24,"Borgatti Stephen P., 2002, Ucinet 6 Windows Onl"
n25,"Mit, 1999, Mit Fac Newsl, Vxi"
n26,"Huisman Mark, 2009, J Soc Struct, V10"
n27,"Lin Nan, 1986, Social Support Life, P17"
n28,"O'muircheartaigh C, 1999, J Roy Stat Soc A Sta, V162, P437, Doi 10.1111/1467-985x.00147"
n29,"Rote S, 2013, Gerontologist, V53, P39, Doi 10.1093/geront/gns063"
n30,"Green Ke, 1996, Psychol Market, V13, P171, Doi 10.1002/(sici)1520-6793(199602)13:2<171::aid-mar4>3.0.co;2-c"
n31,"Knoke D, 1990, Soc Forces, V68, P1041, Doi 10.2307/2579133"
